Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
6765.21625,646,604,600,600,600
6774.048125,646,604,600,600,600
6782.88,646,604,600,600,600
6791.711875,646,604,600,600,600
6800.54375,646,604,600,600,600
6809.375625,646,604,600,600,600
6818.2075,646,604,600,600,600
6827.039375,646,604,600,600,600
6835.87125,646,604,600,600,600
6844.703125,646,604,600,600,600
6853.535,646,604,600,600,600
6862.366875,646,604,600,600,600
6871.1987500000005,646,604,600,600,600
6880.030625,646,604,600,600,600
6888.8625,646,604,600,600,600
6897.694375,646,604,600,600,600
6906.52625,646,604,600,600,600
6915.358125,646,604,600,600,600
6924.1900000000005,646,604,600,600,600
